osmid,name,highway,oneway,length,from,to,lanes,service,access,maxspeed,ref,width,junction,bridge,tunnel,u,v,key
"524548774",Avenida Regimiento Arica,residential,"0",34.491000000000000,"1503195183","996081735",,,,,,,,,,"996081735","1503195183","0"
"742714353",Avenida Regimiento Arica,secondary,"0",38.478999999999999,"1503195193","996081735",,,,,,,,,,"996081735","1503195193","0"
"85808222",Osorno,residential,"0",97.899000000000001,"996081816","996081747",,,,,,,,,,"996081747","996081816","0"
"85808222",Osorno,residential,"0",171.238000000000000,"996083043","996081747",,,,,,,,,,"996081747","996083043","0"
"373711757",Rafael Sotomayor,residential,"0",55.457999999999998,"996081749","996081747",,,,,,,,,,"996081747","996081749","0"
"222108999",Rafael Sotomayor,residential,"0",87.271000000000001,"6169126438","996081747",,,,,,,,,,"996081747","6169126438","0"
"373711757",Rafael Sotomayor,residential,"0",55.529000000000003,"996081750","996081749",,,,,,,,,,"996081749","996081750","0"
"524548789",Valdivia,tertiary,"0",106.817999999999998,"996081814","996081749",,,,,,,,,,"996081749","996081814","0"
"524548789",Valdivia,tertiary,"0",171.016999999999996,"996083046","996081749",,,,,,,,,,"996081749","996083046","0"
"85808201",Cautín,residential,"0",116.533000000000001,"996081813","996081750","2",,,,,,,,,"996081750","996081813","0"
"85808201",Cautín,residential,"0",172.563999999999993,"996083053","996081750","2",,,,,,,,,"996081750","996083053","0"
"373711757",Rafael Sotomayor,residential,"0",53.780999999999999,"996081752","996081750",,,,,,,,,,"996081750","996081752","0"
"373711757",Rafael Sotomayor,residential,"0",51.976999999999997,"996081754","996081752",,,,,,,,,,"996081752","996081754","0"
"711571139",Malleco,residential,"0",174.481999999999999,"996083055","996081752",,,,,,,,,,"996081752","996083055","0"
"711571139",Malleco,residential,"0",124.102000000000004,"996081810","996081752",,,,,,,,,,"996081752","996081810","0"
"85808203",Bio Bio,residential,"0",134.907999999999987,"996081803","996081754",,,,,,,,,,"996081754","996081803","0"
"85808203",Bio Bio,residential,"0",173.997000000000014,"996083056","996081754",,,,,,,,,,"996081754","996083056","0"
"373711757",Rafael Sotomayor,residential,"0",54.328000000000003,"996081756","996081754",,,,,,,,,,"996081754","996081756","0"
"373711757",Rafael Sotomayor,residential,"0",54.738999999999997,"1503283252","996081756",,,,,,,,,,"996081756","1503283252","0"
"711571138",Arauco,residential,"0",173.164999999999992,"996083059","996081756",,,,,,,,,,"996081756","996083059","0"
"711571138",Arauco,residential,"0",144.866000000000014,"996081800","996081756",,,,,,,,,,"996081756","996081800","0"
"85808188",Ñuble,residential,"0",172.700999999999993,"996083061","996081758",,,,,,,,,,"996081758","996083061","0"
"85808188",Ñuble,residential,"0",163.407999999999987,"996081798","996081758",,,,,,,,,,"996081758","996081798","0"
"373711757",Rafael Sotomayor,residential,"0",54.810000000000002,"1503283288","996081758",,,,,,,,,,"996081758","1503283288","0"
"373711757",Rafael Sotomayor,residential,"0",54.344999999999999,"1503283252","996081758",,,,,,,,,,"996081758","1503283252","0"
"85808190",Linares,secondary,"0",172.245000000000005,"996083064","996081759",,,,,,,,,,"996081759","996083064","0"
"85808190",Linares,secondary,"0",172.855999999999995,"5421245949","996081759",,,,,,,,,,"996081759","5421245949","0"
"373711757",Rafael Sotomayor,residential,"0",39.567000000000000,"1503283288","996081759",,,,,,,,,,"996081759","1503283288","0"
"373711760",Rafael Sotomayor,tertiary,"0",16.844000000000001,"1503290619","996081759",,,,,,,,,,"996081759","1503290619","0"
"85808192",Curicó,residential,"0",171.012000000000000,"996083067","996081761",,,,,,,,,,"996081761","996083067","0"
"373711760",Rafael Sotomayor,tertiary,"0",57.353000000000002,"996081762","996081761",,,,,,,,,,"996081761","996081762","0"
"373711760",Rafael Sotomayor,tertiary,"0",52.716000000000001,"996081456","996081761",,,,,,,,,,"996081761","996081456","0"
"373711760",Rafael Sotomayor,tertiary,"0",54.490000000000002,"996081763","996081762",,,,,,,,,,"996081762","996081763","0"
"711571137",Colchagua,residential,"0",169.984000000000009,"996083070","996081762",,,,,,,,,,"996081762","996083070","0"
"85808179",O'Higgins,residential,"0",167.402999999999992,"996083073","996081763","2",,,,,,,,,"996081763","996083073","0"
"373711760",Rafael Sotomayor,tertiary,"0",50.490000000000002,"996081764","996081763",,,,,,,,,,"996081763","996081764","0"
"286684658",Santiago,residential,"0",166.835000000000008,"996083077","996081764",,,,,,,,,,"996081764","996083077","0"
"373711760",Rafael Sotomayor,tertiary,"0",54.911999999999999,"996081767","996081764",,,,,,,,,,"996081764","996081767","0"
"85808181",Valparaíso,residential,"0",165.912000000000006,"996083080","996081767",,,,,,,,,,"996081767","996083080","0"
"742714351",Rafael Sotomayor,residential,"0",54.357999999999997,"996081772","996081767",,,,,,,,,,"996081767","996081772","0"
"711571144",Aconcagua,residential,"0",169.161000000000001,"996083081","996081772","2",,,,,,,,,"996081772","996083081","0"
"742714351",Rafael Sotomayor,residential,"0",52.539999999999999,"996081775","996081772",,,,,,,,,,"996081772","996081775","0"
"360565099",Coquimbo,residential,"0",168.068000000000012,"996083083","996081775",,,,,,,,,,"996081775","996083083","0"
"742714351",Rafael Sotomayor,residential,"0",53.834000000000003,"996081778","996081775",,,,,,,,,,"996081775","996081778","0"
"711571143",Atacama,residential,"0",165.536000000000001,"996083084","996081778","2",,,,,,,,,"996081778","996083084","0"
"742714351",Rafael Sotomayor,residential,"0",50.835999999999999,"996081781","996081778",,,,,,,,,,"996081778","996081781","0"
"85808164",Antofagasta,residential,"0",164.557999999999993,"996083088","996081781",,,,,,,,,,"996081781","996083088","0"
