y,x,osmid,highway,v_Input_FID
-29.972530100000000,-71.303845899999999,"5421534923",,"6"
-29.972807100000001,-71.304756699999999,"5421534925",,"6"
-29.973507099999999,-71.301798899999994,"5421534934",,"6"
-29.972913699999999,-71.301259099999996,"5421534935",,"6"
-29.973360799999998,-71.301298200000005,"5421534938",,"6"
-29.973246000000000,-71.301300200000000,"5421534939",,"6"
-29.980669200000001,-71.299619300000003,"3759804264",,"6"
-29.979528500000001,-71.299678299999997,"3759804274",,"6"
-29.976269299999998,-71.297758500000000,"7736858853",,"6"
-29.971573100000001,-71.302318900000003,"3424068594",,"6"
-29.974224199999998,-71.297534400000004,"3424068694",,"6"
-29.975425399999999,-71.307158700000002,"1497507244",,"6"
-29.975949300000000,-71.306492899999995,"1497507245",,"6"
-29.976060600000000,-71.306781900000004,"1497507248",,"6"
-29.975693199999998,-71.305556800000005,"1497507250",,"6"
-29.975884900000000,-71.308294099999998,"1497507259",,"6"
-29.976455500000000,-71.307976900000000,"1497507260",,"6"
-29.975292199999998,-71.306869699999993,"1497507264",,"6"
-29.975156900000002,-71.307328100000007,"1497507277",,"6"
-29.976413300000001,-71.307280300000002,"1497507282",,"6"
-29.972393300000000,-71.300864599999997,"1497507286",,"6"
-29.975812600000001,-71.307641799999999,"1497507295",,"6"
-29.976057699999998,-71.308468199999993,"1497507300",,"6"
-29.974589099999999,-71.306174900000002,"1497507313",,"6"
-29.974881700000001,-71.306006999999994,"1497507315",,"6"
-29.975523400000000,-71.307459399999999,"1497507317",,"6"
-29.975438499999999,-71.307361400000005,"1497507319",,"6"
-29.975985500000000,-71.307903800000005,"1497507331",,"6"
-29.976514800000000,-71.307598499999997,"1497507337",,"6"
-29.976215700000001,-71.307033599999997,"1497507339",,"6"
-29.974895799999999,-71.305221900000006,"2365728592",,"6"
-29.975033100000001,-71.306325599999994,"2365728596",,"6"
-29.976350499999999,-71.305529100000001,"2365728598",,"6"
-29.973982299999999,-71.304005000000004,"2365728600",,"6"
-29.975012199999998,-71.305539199999998,"2365728602",,"6"
-29.976578300000000,-71.305573199999998,"2365728603",,"6"
-29.974825800000001,-71.304879299999996,"2365728604",,"6"
-29.974096599999999,-71.302984300000006,"2365728606",,"6"
-29.974619199999999,-71.303815599999993,"2365728608",,"6"
-29.976383700000000,-71.305818500000001,"2365728610",,"6"
-29.975469300000000,-71.305262299999995,"2365728612",,"6"
-29.973987500000000,-71.302886599999994,"2365728615",,"6"
-29.970076700000000,-71.297733699999995,"3763480427",,"6"
-29.974212600000001,-71.305037999999996,"2365728617",,"6"
-29.974632300000000,-71.304226799999995,"2365728620",,"6"
-29.975188599999999,-71.305062199999995,"2365728622",,"6"
